Top File I/O Activity Report
File,Total IOs (#),Read Requests (#),Total Read IO,Avg Read IO,Write Requests (#),Total Write IO,Avg Write IO,Write %
C:\ProgramData\MySQL\MySQL Server 8.0\Data\undo_001,25133056,1060,17416192,16430,471,7716864,16384,30.70
C:\ProgramData\MySQL\MySQL Server 8.0\Data\undo_002,24838144,1031,16941056,16432,482,7897088,16384,31.79
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#ib_16384_0.dblwr,22953984,1,196608,196608,359,22757376,63391,99.14
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ibtmp1,21020672,384,6291456,16384,143,14729216,103002,70.07
C:\ProgramData\MySQL\MySQL Server 8.0\Data\mysql.ibd,16105472,680,11190272,16456,300,4915200,16384,30.52
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#ib_16384_1.dblwr,9388032,1,8585216,8585216,13,802816,61755,8.55
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ib_logfile0,2143232,8,70656,8832,1086,2072576,1908,96.70
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ibdata1,704512,20,376832,18842,20,327680,16384,46.51
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\salesinfo.ibd,360448,6,98304,16384,10,262144,26214,72.73
C:\Program Files\MySQL\MySQL Server 8.0\share\english\errmsg.sys,330250,3,330250,110083,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\purchaseinfo.ibd,327680,5,81920,16384,9,245760,27307,75.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\products.ibd,294912,4,65536,16384,8,229376,28672,77.78
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\customers.ibd,229376,0,0,0,8,229376,28672,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\users.ibd,229376,0,0,0,8,229376,28672,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\suppliers.ibd,229376,0,0,0,8,229376,28672,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\inventory\currentstock.ibd,212992,0,0,0,7,212992,30427,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_10.ibt,180224,1,16384,16384,6,163840,27307,90.91
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_1.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_2.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_3.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_4.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_5.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_6.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_7.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_8.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_9.ibt,114688,0,0,0,3,114688,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\SHIKHAR-bin.000019,56807,0,0,0,96,56807,592,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sys\sys_config.ibd,49152,3,49152,16384,0,0,0,0.00
C:\Program Files\MySQL\MySQL Server 8.0\share\charsets\Index.xml,19495,1,19495,19495,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\SHIKHAR-bin.000018,358,3,358,119,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\SHIKHAR-slow.log,196,0,0,0,1,196,196,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\SHIKHAR-bin.000015,179,1,179,179,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\SHIKHAR-bin.index,105,1,105,105,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\auto.cnf,56,3,56,19,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\Shikhar.pid,5,0,0,0,1,5,5,100.00
