Statement Statistics
User,Statement,Total Events (#),Total Time,Max Time,Lock Time,Rows Sent (#),Rows Examined (#),Rows Affected (#),Full Scans (#)
root,create_table,29,1122765.50,286370.50,14718.00,0,0,0,0
root,select,73,489378.10,142146.60,13261.00,1822,4374,0,21
root,drop_table,31,281685.90,98582.20,21854.00,0,0,0,0
root,show_variables,64,226263.40,58470.40,61285.00,3762,3762,0,64
root,show_status,141,224714.80,12211.60,35974.00,62235,62235,0,141
root,show_fields,128,140257.80,8910.80,57323.00,711,3420,0,0
root,drop_db,1,132478.10,132478.10,5914.00,0,0,8,0
root,insert,28,92456.80,7706.40,0.00,0,0,617,0
root,show_charsets,17,53268.10,20617.20,26509.00,217,627,0,5
root,lock_tables,28,52392.10,3724.30,7669.00,0,0,0,0
root,show_tables,7,48907.10,13209.20,17123.00,228,625,0,0
root,Ping,210,47530.70,14326.20,0.00,0,0,0,0
root,set_option,60,44149.90,15012.60,0.00,0,0,0,0
root,create_db,6,38818.50,13367.50,387.00,0,0,6,0
root,show_procedure_status,6,24031.40,9865.30,9055.00,15,102,0,0
root,show_databases,5,22534.00,8271.90,9447.00,44,181,0,5
root,show_collations,5,14838.90,4939.20,3129.00,1360,2925,0,5
root,stmt,1,10156.30,10156.30,0.00,0,1,0,0
root,set,2,10061.20,10058.10,0.00,0,1,0,0
root,show_function_status,6,7071.00,2853.90,3730.00,15,132,0,0
root,unlock_tables,28,5434.40,1201.50,0.00,0,0,0,0
root,show_storage_engines,5,4713.80,2641.30,3263.00,45,45,0,5
root,show_grants,9,4640.70,3018.10,0.00,0,0,0,0
root,show_plugins,1,3847.00,3847.00,2884.00,44,44,0,1
root,change_db,16,3559.50,715.30,353.00,0,0,0,0
root,show_warnings,19,2388.80,457.80,0.00,0,0,0,0
root,jump_if_not,23,882.70,461.70,0.00,0,0,0,0
root,freturn,12,682.90,589.70,0.00,0,0,0,0
root,Quit,4,555.60,486.70,0.00,0,0,0,0
